val_acc;test_acc;config
0.6551724076271057;0.8965517282485962;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/electric'], 'l2': 0.001, 'version': 31, 'trial': 0}
0.931034505367279;0.7586206793785095;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/electric'], 'l2': 0.0, 'version': 32, 'trial': 0}
0.7586206793785095;0.7931034564971924;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/electric'], 'l2': 0.1, 'version': 33, 'trial': 0}
0.7931034564971924;0.7931034564971924;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/electric'], 'l2': 0.001, 'version': 34, 'trial': 0}
0.8275862336158752;0.7241379022598267;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/electric'], 'l2': 0.0, 'version': 35, 'trial': 0}
0.59375;0.578125;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/screw'], 'l2': 0.1, 'version': 36, 'trial': 0}
0.7083333730697632;0.4322916865348816;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/screw'], 'l2': 0.001, 'version': 37, 'trial': 0}
0.6822916269302368;0.7291666269302368;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/screw'], 'l2': 0.0, 'version': 38, 'trial': 0}
0.171875;0.7604166269302368;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/screw'], 'l2': 0.1, 'version': 39, 'trial': 0}
0.203125;0.6979166269302368;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/screw'], 'l2': 0.001, 'version': 40, 'trial': 0}
0.8072916269302368;0.5208333730697632;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/screw'], 'l2': 0.0, 'version': 41, 'trial': 0}
0.96875;0.9768518805503845;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.1, 'version': 42, 'trial': 0}
0.9652777910232544;0.96875;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.001, 'version': 43, 'trial': 0}
